date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:28	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:28%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p048gw8k.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gw8k.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:29	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:29%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z66nv82	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account22ac	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z66nv82)
17:21:30	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:30%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z76yp4j	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account1b98	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z76yp4j)
17:21:31	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:31%20GMT	https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/.	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zcm3qhv)
17:21:32	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:32%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zcm3qhv	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account2b57	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zcm3qhv)
17:21:33	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:33%20GMT	https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p0578dgw.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0578dgw.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zcm3qhv)
17:21:34	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:34%20GMT	https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p0578dgw.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0578dgw.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zcm3qhv)
17:21:35	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:35%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zj7dcmn	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/accountce5a	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zj7dcmn)
17:21:36	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:36%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zv78jhv	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account97a4	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/zv78jhv)
17:21:37	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:37%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/z3dcmsg	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account1899	(from https://www.bbc.co.uk/bitesize/topics/z8x6cj6/articles/z3dcmsg)
